Défi,Livrable,Tâche,Fait le,Cat,OK
EIG Link,Maintenance,Installation IRC,<2018-02-13 mar.>,P,
EIG Link,blog-eig2,Créer un blog,<2018-02-14 mer.>,P,
Archifiltre,Roadmap,Élaboration du macro-planning,<2018-02-15 jeu.>,M,
Archifiltre,,Préparation du premier sprint,<2018-02-15 jeu.>,P,
Archifiltre,,Réflexion sur la com du projet,<2018-02-15 jeu.>,P,
Archifiltre,,Réalisation d'un premier logo,<2018-02-15 jeu.>,P,
Archifiltre,,Comprendre l'architecture du format PST,<2018-02-15 jeu.>,D,
Archifiltre,,Benchmark d'outils de parsing PST,<2018-02-15 jeu.>,P,
Archifiltre,,Atelier créativité sur les interfaces,<2018-02-15 jeu.>,U,
b@liseNAV,POC,Backend du POC,<2018-02-15 jeu.>,P,
b@liseNAV,Habiter Brest,Signature du bail,<2018-02-15 jeu.>,I,
b@liseNAV,,Suivi d’un cours sur les bases,<2018-02-15 jeu.>,A,
b@liseNAV,,Import de données ALADIN,<2018-02-15 jeu.>,P,
b@liseNAV,,Travail sur la roadmap,<2018-02-15 jeu.>,M,
b@liseNAV,,Carto de l’environnement technique,<2018-02-15 jeu.>,P,
b@liseNAV,Roadmap,Travail sur un doc de synthèse,<2018-02-15 jeu.>,M,
DataESR,,Debrief semaine d'intégration,<2018-02-15 jeu.>,I,
DataESR,,Interviews membres de l'équipe,<2018-02-15 jeu.>,U,
DataESR,,Exploration de jeux de données,<2018-02-15 jeu.>,D,
DataESR,,Installation environnement de travail,<2018-02-15 jeu.>,I,
DataESR,,Interview personne en charge de scanr.fr,<2018-02-15 jeu.>,U,
DataESR,,Contact avec istex.fr,<2018-02-15 jeu.>,D,
Gobelins,,installation matériel,<2018-02-15 jeu.>,I,
Gobelins,,visite des lieux,<2018-02-15 jeu.>,I,
Gobelins,,Prise de RDV avec le personnel,<2018-02-15 jeu.>,U,
Gobelins,,Collecte ressources photo.,<2018-02-15 jeu.>,D,
Gobelins,Roadmap,Phasage du projet,<2018-02-15 jeu.>,M,
Hopkins,,Biblio sur le matching,<2018-02-15 jeu.>,P,
Hopkins,,Installation de matchID,<2018-02-15 jeu.>,I,
Hopkins,,Familiarisation avec ElasticSearch,<2018-02-15 jeu.>,A,
Hopkins,,Exploration jeu de données sur Dataiku,<2018-02-15 jeu.>,D,
Hopkins,,Reprise en main de python,<2018-02-15 jeu.>,A,
Hopkins,,Découverte travail d’orientation auprès d’un utilisateur,<2018-02-15 jeu.>,U,
Hopkins,,Test de la librairie fuzzywuzzy,<2018-02-15 jeu.>,P,
Hopkins,,Trouver un workflow correct entre un ordi Windows,<2018-02-15 jeu.>,I,
Hopkins,,Setup serveurs (zsh oh-my-zsh micro et tmux),<2018-02-15 jeu.>,I,
Hopkins,,Lire du code pour me mettre à jour,<2018-02-15 jeu.>,A,
Lab Santé,Formation,Formation agents DREES à R,<2018-02-15 jeu.>,T,
Lab Santé,Scraping Medecins,Scraping annuairesante.ameli.fr,<2018-02-15 jeu.>,P,
Lab Santé,Avis HAS,extraction dans avis de la HAS (NLP),<2018-02-15 jeu.>,P,
Lab Santé,,Obtention des mdp pour accès aux bases,<2018-02-15 jeu.>,I,
Lab Santé,Communauté EIG,Aidé sur #support-sysadmin,<2018-02-15 jeu.>,T,
Lab Santé,Communauté EIG,Push de la bulloterie sur shinyapps,<2018-02-15 jeu.>,P,
Lab Santé,Benchmark SAS/R/Python,Avancée sur un benchmark SAS/R,<2018-02-15 jeu.>,P,
Prédisauvetage,Roadmap,Cadrage projet,<2018-02-15 jeu.>,M,
Prédisauvetage,,Nettoyage données SNSM,<2018-02-15 jeu.>,P,
Prédisauvetage,,POC appli prévention,<2018-02-15 jeu.>,P,
Prévisecours,,Ajout Indicateurs idh2 par commune,<2018-02-15 jeu.>,P,
Prévisecours,,Premières versions naïves des features,<2018-02-15 jeu.>,P,
Prévisecours,,Trouver endroit où travailler au LLL,<2018-02-15 jeu.>,I,
Prévisecours,,Rencontre avec service de PJ,<2018-02-15 jeu.>,U,
Prévisecours,,Point avec mentor,<2018-02-15 jeu.>,M,
Prévisecours,,Petit déjeuner pour se présenter au service,<2018-02-15 jeu.>,I,
Prévisecours,,Exploration de données,<2018-02-15 jeu.>,D,
Signaux Faibles,,Immersion dans le code,<2018-02-15 jeu.>,A,
Signaux Faibles,,Correction d’un bug,<2018-02-15 jeu.>,P,
Signaux Faibles,,Connaissance avec les données,<2018-02-15 jeu.>,D,
SocialConnect,,entretiens parties prenantes,<2018-02-15 jeu.>,U,
SocialConnect,,atelier nomenclature,<2018-02-15 jeu.>,D,
SocialConnect,,préparer atelier communication,<2018-02-15 jeu.>,P,
SocialConnect,Roadmap,Rétroplanning jusqu'au 09 avril,<2018-02-15 jeu.>,M,
BrigadeNumérique,,Copil mensuel de la Brigade Numérique,<2018-02-16 ven.>,M,
BrigadeNumérique,,Atelier de cadrage projet pour définir les besoins ​applicatifs,<2018-02-16 ven.>,MCR,
BrigadeNumérique,,Préparer un pitch pour le Ministre d'intérieur,<2018-02-16 ven.>,C,
BrigadeNumérique,,Rencontre des acteurs technico-fonctionnels,<2018-02-16 ven.>,U,
BrigadeNumérique,,Mise en place de KanBoard,<2018-02-16 ven.>,PM,
CoachÉlèves,,Rencontre détenteurs données,<2018-02-16 ven.>,D,
CoachÉlèves,,Rencontre Pôle Emploi Store,<2018-02-16 ven.>,M,
CoachÉlèves,,Point légal sur propriété des données,<2018-02-16 ven.>,D,
Archifiltre,Bib Java pour lire PST,Conversion d'archive Outlook,<2018-02-23 ven.>,P,
Archifiltre,,Script bash avec robocopy,<2018-02-23 ven.>,P,
Archifiltre,User stories,Défintion des futurs sprints,<2018-02-23 ven.>,P,
Archifiltre,Accès VM,Prise en main de la VM fournie par la DSI,<2018-02-23 ven.>,I,
b@liseNAV,,On a la fibre à l’appart!,<2018-02-23 ven.>,I,
b@liseNAV,,Document de synthèse du premier sprint,<2018-02-23 ven.>,P,
b@liseNAV,,Visite de la DAM à Saint-Malo,<2018-02-23 ven.>,M,
b@liseNAV,,Récupération d'un échantillon AIS,<2018-02-23 ven.>,D,
b@liseNAV,,Chargement et exploration de la base de données Aladin,<2018-02-23 ven.>,D,
b@liseNAV,,Feuille de style S-52 pour affichage des cartes nautiques S-57,<2018-02-23 ven.>,P,
b@liseNAV,,Symboles SVG pour les cartes nautiques,<2018-02-23 ven.>,P,
b@liseNAV,,"Découverte de Proxmox, et notamment la configuration d’une VM",<2018-02-23 ven.>,A,
BrigadeNumérique,,Pondre les premières maquettes et cas d'utilisation,<2018-02-23 ven.>,P,
BrigadeNumérique,,RDV DINSIC pour premier contact avec FranceConnect,<2018-02-23 ven.>,M,
